Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-CG-4460-01A-01R-1157-13	0.087626267	0	0.082682749	0.038462197	0	0.214381622	0.01764911	0.022349379	0.009842374	0	0.011260781	0	0.000907088	0.121768984	0.078197609	0.181393952	0.00331847	0	0	0.097508299	0.022434265	0.010216854	1.982726314
TCGA-IN-8462-01A-11R-2343-13	0.00726013	0.012984524	0.055144086	0.061065986	0	0.126840767	0	0	0.115172732	0	0	0.051857875	0.000473932	0.073243901	0.153537997	0.118627577	0.085866009	0	0.137924483	0	0	0	0.944208652
TCGA-RD-A7BS-01A-11R-A32D-31	0.052481522	0.124864308	0.006871952	0.052685313	0	0.168755579	0	0.015587143	0.080274879	0	0	0.033635349	0	0.162512087	0.184055644	0.033082278	0	0.012559424	0.072634522	0	0	0	1.953968067
TCGA-BR-8486-01A-31R-2402-13	0.065394618	0	0.053750964	0	0	0.232632515	0.06544275	0.051765776	0.075898693	0.000302352	0.028126277	0	0	0.307282435	0.024190282	0.066136333	0	0.012702073	0	0.016374931	0	0	1.555363372
TCGA-VQ-A8PK-01A-12R-A414-31	0.07531695	0	0.089360269	0.022891444	0	0.19548441	0	0.054083273	0.023374809	0	0.023344751	0.109513357	0	0.108479538	0.162710568	0.094375556	0	0.004079447	0.036985628	0	0	0	1.472126415
TCGA-D7-A6EX-01A-11R-A31P-31	0.164530483	0	0.052422247	0.069033181	0	0.205359773	0.025575128	0.0204034	0.161705318	0	0	0.022246523	0.001695139	0.017634938	0.050934949	0.105329643	0.022347904	0	0.080781371	0	0	0	0.261243863
TCGA-HU-A4H4-01A-21R-A251-31	0.002514272	0.040389841	0.056445069	0.171437554	0	0	0.12759073	0.04847812	0.092445493	0	0	0.001378274	0	0.14677374	0.152589782	0.042524469	0	0.055726277	0.044382716	0	0	0.017323664	3.502741968
TCGA-VQ-A8DT-01A-11R-A36D-31	0	0	0.086214849	0.104511373	0	0.34558463	0.093455645	0.005136985	0.022053435	0.001703033	0	0.059061046	0	0.054075669	0.035300793	0.059203007	0.008697221	0.020459886	0.083247978	0	0	0.021294449	0.462618563
TCGA-HU-A4GF-01A-11R-A24K-31	0.070781108	0	0.040220299	0.088365378	0	0.075564502	0.052821115	0.050248801	0.087680421	0	0	0.024204055	0	0.266260281	0.055768863	0.067676217	0	0.011252858	0	0.01260042	0	0.096555682	1.196854328
TCGA-BR-8367-01A-11R-2343-13	0.001891228	0	0.051506183	0	0	0.34543226	0	0	0.000371251	0	0	0.067125693	0.018105994	0.071795542	0.006316077	0.16677443	0.032050412	0.018789394	0.219841535	0	0	0	0.625909103
