"","results.Hugo_Symbol","results.I","results.IV","results.pval","results.or","results.ci.up","results.ci.low","results.adjPval","SampleSummary.Cohort","SampleSummary.SampleSize"
"78","COL5A1",3,6,0.733709715822639,0.671496929033268,3.30765023051477,0.104220194336557,0.945599374024712,"IV",81
"79","USP9X",3,6,0.733709715822639,0.671496929033268,3.30765023051477,0.104220194336557,0.945599374024712,"I",59
"80","CACNA1A",5,5,0.742518300286521,1.4038913910523,6.42625609081542,0.306801721498036,0.945599374024712,"IV",81
"81","CTNND1",5,5,0.742518300286521,1.4038913910523,6.42625609081542,0.306801721498036,0.945599374024712,"I",59
"82","FLNA",5,5,0.742518300286521,1.4038913910523,6.42625609081542,0.306801721498036,0.945599374024712,"IV",81
"83","MGA",5,5,0.742518300286521,1.4038913910523,6.42625609081542,0.306801721498036,0.945599374024712,"I",59
"84","ACVR2A",4,8,0.761140155900861,0.665518719770905,2.63867708346964,0.139394331151273,0.945599374024712,"IV",81
"85","KRAS",6,7,0.775602373024051,1.19520908194261,4.42128007929651,0.312595922248873,0.945599374024712,"I",59
"86","BRCA2",7,8,0.785025895416742,1.22653282369849,4.1439702102646,0.354544669035753,0.945599374024712,"IV",81
"87","DCHS2",7,8,0.785025895416742,1.22653282369849,4.1439702102646,0.354544669035753,0.945599374024712,"I",59
"88","NIPBL",7,8,0.785025895416742,1.22653282369849,4.1439702102646,0.354544669035753,0.945599374024712,"IV",81
"89","APOB",9,11,0.810401331085624,1.14433273122156,3.29795629220036,0.387579443649683,0.965197090955912,"I",59
"90","DMD",11,14,0.827547255489726,1.09599867103458,2.85795284970152,0.411421538555254,0.970889381793075,"IV",81
"91","HMCN1",13,16,0.833499374935564,1.14695509232649,2.82561097271526,0.459024544458098,0.970889381793075,"I",59
"92","NCOR2",5,7,1,0.978983548321487,3.80465403658481,0.231893312515275,1,"IV",81
"93","SMAD4",7,9,1,1.07635010796768,3.48878910671653,0.318498778290355,1,"I",59
"94","AR",5,6,1,1.15618536196519,4.81039234829779,0.264582576704435,1,"IV",81
"95","CARD11",4,6,1,0.909679530720708,4.04780563736734,0.179909897443833,1,"I",59
"96","CHD4",5,6,1,1.15618536196519,4.81039234829779,0.264582576704435,1,"IV",81
"97","EPHA3",4,5,1,1.10465685710607,5.39322395932039,0.209221578741457,1,"I",59
"98","ERBB3",5,6,1,1.15618536196519,4.81039234829779,0.264582576704435,1,"IV",81
"99","LRP5",3,5,1,0.815462137804547,4.39219727666965,0.121566355129016,1,"I",59
"100","NOTCH2",5,6,1,1.15618536196519,4.81039234829779,0.264582576704435,1,"IV",81
"101","NSD1",3,5,1,0.815462137804547,4.39219727666965,0.121566355129016,1,"I",59
"102","POLE",4,5,1,1.10465685710607,5.39322395932039,0.209221578741457,1,"IV",81
"103","ROS1",4,5,1,1.10465685710607,5.39322395932039,0.209221578741457,1,"I",59
"104","SETBP1",4,6,1,0.909679530720708,4.04780563736734,0.179909897443833,1,"IV",81
"105","SPTAN1",4,5,1,1.10465685710607,5.39322395932039,0.209221578741457,1,"I",59
"106","TLR4",5,8,1,0.845913328625558,3.12452521993123,0.205804317451495,1,"IV",81
