,results.Hugo_Symbol,results.I,results.II,results.pval,results.or,results.ci.up,results.ci.low,results.adjPval,SampleSummary.Cohort,SampleSummary.SampleSize
81,PTPRD,8,10,0.446743777,1.470934462,4.437315782,0.472552235,0.650811922,I,59
82,APOB,9,11,0.457815241,1.5178129,4.338885027,0.518246817,0.658807299,II,104
83,CIC,5,5,0.498304595,1.826212476,8.318114873,0.401141606,0.699999311,I,59
84,NOTCH2,5,5,0.498304595,1.826212476,8.318114873,0.401141606,0.699999311,II,104
85,CHD4,5,6,0.528840794,1.508418364,6.242163907,0.347018898,0.717278318,I,59
86,MGA,5,6,0.528840794,1.508418364,6.242163907,0.347018898,0.717278318,II,104
87,MYH9,5,6,0.528840794,1.508418364,6.242163907,0.347018898,0.717278318,I,59
88,FAT1,6,7,0.549165305,1.564281554,5.750814343,0.411531122,0.728106809,II,104
89,RPL22,6,7,0.549165305,1.564281554,5.750814343,0.411531122,0.728106809,I,59
90,ZFHX3,6,8,0.575336837,1.355815875,4.72961927,0.366971233,0.75433052,II,104
91,EPHA2,7,9,0.586633859,1.417717587,4.563816917,0.422418191,0.760690058,I,59
92,ASXL1,4,5,0.724067527,1.436600052,6.98019704,0.273343405,0.889999669,II,104
93,CDKN2A,4,5,0.724067527,1.436600052,6.98019704,0.273343405,0.889999669,I,59
94,ERCC6,4,5,0.724067527,1.436600052,6.98019704,0.273343405,0.889999669,II,104
95,JAG2,4,5,0.724067527,1.436600052,6.98019704,0.273343405,0.889999669,I,59
96,SMARCA4,4,5,0.724067527,1.436600052,6.98019704,0.273343405,0.889999669,II,104
97,SMAD4,7,10,0.79045392,1.263490493,3.932845775,0.383844963,0.961583119,I,59
98,CDH1,4,7,1,1.007745709,4.174650163,0.206904954,1,II,104
99,NF1,4,7,1,1.007745709,4.174650163,0.206904954,1,I,59
100,SETBP1,4,7,1,1.007745709,4.174650163,0.206904954,1,II,104
101,ACVR2A,4,6,1,1.186588957,5.252690076,0.235829475,1,I,59
102,CHD8,3,5,1,1.060327426,5.685280691,0.158734746,1,II,104
103,CNBD1,3,6,1,0.875683576,4.292376789,0.136428012,1,I,59
104,EPHA3,4,6,1,1.186588957,5.252690076,0.235829475,1,II,104
105,FAT4,8,13,1,1.097401263,3.082488364,0.368199931,1,I,59
106,HFM1,4,8,1,0.873420177,3.442585177,0.183914232,1,II,104
107,KSR2,4,6,1,1.186588957,5.252690076,0.235829475,1,I,59
108,LRP5,3,7,1,0.743653868,3.420014048,0.119378243,1,II,104
109,MUC6,4,6,1,1.186588957,5.252690076,0.235829475,1,I,59
110,NOTCH3,4,6,1,1.186588957,5.252690076,0.235829475,1,II,104
111,NTRK3,2,5,1,0.696209999,4.421929384,0.064306826,1,I,59
112,PDS5B,2,5,1,0.696209999,4.421929384,0.064306826,1,II,104
113,PIK3CG,3,6,1,0.875683576,4.292376789,0.136428012,1,I,59
114,POLE,4,6,1,1.186588957,5.252690076,0.235829475,1,II,104
115,PRF1,2,5,1,0.696209999,4.421929384,0.064306826,1,I,59
116,SLX4,3,7,1,0.743653868,3.420014048,0.119378243,1,II,104
117,SPTA1,9,15,1,1.067565501,2.827927483,0.38247988,1,I,59
118,ZFP36L2,2,5,1,0.696209999,4.421929384,0.064306826,1,II,104
