"","log2FC","t","B","PValue","FDR"
"RFX6",-2.268180189946,-4.51373070280127,2.60435422761583,1.19772868362935e-05,0.000192573856472497
"POU6F2",-2.25148205495723,-4.50694601402228,2.5771740958358,1.23235498807396e-05,0.000197652728120096
"TAS2R38",-2.16346896931278,-4.49502285494289,2.52948615298989,1.29555430353313e-05,0.000206938825291843
"TTR",-2.54100138677817,-4.47233536169755,2.43901820810341,1.42453215117612e-05,0.000224744698574243
"CACNG4",-2.16353367981475,-4.47218080470956,2.43840313155967,1.42545179996369e-05,0.000224744698574243
"FEZF1",-2.13794845557202,-4.47040554423818,2.43133948239833,1.43605604829576e-05,0.000226051435537782
"PCLO",-2.00498718885508,-4.45896347386192,2.38586500866297,1.50624700343377e-05,0.000235580410737371
"GUCA2A",-2.9561223709387,-4.45753949403461,2.38021205551255,1.5152099019307e-05,0.000236410395057527
"GSTA2",-2.44747865775452,-4.42289343756421,2.24311095140884,1.74977950729707e-05,0.00026742205846535
"CDX1",-2.51633375623948,-4.41764282945128,2.22240682179641,1.78824353846115e-05,0.000272480293733202
"SI",-2.79255144463563,-4.40720527127282,2.1813072104418,1.86713295344251e-05,0.00028273520650306
"SLC6A19",-2.654377948463,-4.40509596627304,2.17301079654729,1.88347685506468e-05,0.000284768278342429
"PCK1",-2.27177430358244,-4.36948718471388,2.0334270668113,2.18104313106883e-05,0.000322513491479792
"RDH8",-2.17247353973792,-4.34848504038642,1.95152143068059,2.3771937874295e-05,0.000346013762392516
"APOA4",-3.20553991992438,-4.33193407078969,1.88719580766374,2.54359454816265e-05,0.000366138805203442
"OTOP3",-2.40733730338984,-4.25534663174955,1.59208874026351,3.47033804208799e-05,0.000477150435780577
"SLC26A3",-2.47400325431527,-4.2053148589858,1.40158837902782,4.24208991440929e-05,0.000569081464188006
"UGT1A6",-2.02398490766558,-4.20463221791156,1.39900171557661,4.25367811858014e-05,0.000570145590386369
"EVX1",-2.1366462494108,-4.19628454455197,1.3673981252376,4.39785783277446e-05,0.000587153126114397
"ITLN1",-2.60143697308252,-4.1705978331801,1.27046884968674,4.87143783971785e-05,0.000640738512085261
"GSTA1",-2.15603333957601,-4.16735358320965,1.25826086629154,4.93461136890731e-05,0.000646904216844775
"PAX4",-2.2973772881257,-4.16000146749125,1.23062362977715,5.08068775398288e-05,0.000663344108829377
"MOGAT2",-2.27563500157689,-4.15835744739092,1.22444902692147,5.11391327689877e-05,0.000667235783768631
"HEPACAM2",-2.20139111015104,-4.15393131142271,1.20783520156098,5.20440099884284e-05,0.000675879594786516
"ISX",-2.54514398458419,-4.02786403495428,0.740693449780127,8.52828677819822e-05,0.00102945967608937
"C5orf52",-2.06954557062957,-4.02735128824311,0.738817533396039,8.54524226553406e-05,0.00103023214194539
"RBP2",-2.01303209808682,-4.00278234821376,0.649160647127561,9.39642307116664e-05,0.00111867101640985
"PCSK1N",-2.1613538707001,-3.96648877012399,0.517545610993682,0.000108029787431155,0.00126341127673381
"CLPSL2",-2.29567882580085,-3.92405836475128,0.364933201119305,0.000127015515121475,0.00144335731555728
"FOXJ1",-2.19426278205522,-3.92067561825912,0.352824793552019,0.000128658555069461,0.00145835443461139
"REG4",-2.36191210519098,-3.90819618565399,0.308230151437543,0.000134896476462754,0.00151935621700894
"APOA1",-2.05102670705761,-3.89617897817999,0.265398919623929,0.000141174281067571,0.00157732157536229
"PLA2G12B",-2.10207848239741,-3.84801741699469,0.0948466236741217,0.000169231035001597,0.00183398487628058
"DMBT1",-2.12452167736169,-3.84788653331898,0.0943855438238304,0.000169314040015247,0.00183398487628058
"MAGEA3",-3.52407464814776,-3.83333521271719,0.0432056125391629,0.000178787181750747,0.00191704156785277
