"","log2FC","t","B","PValue","FDR"
"DUOX2",-2.71153650814678,-5.05782086901374,4.88491195792033,1.10738420425459e-06,2.36488318193055e-05
"AKR1C2",-1.76087545240283,-5.04586919435875,4.83273992568398,1.16914487086566e-06,2.48049334069856e-05
"DUOXA2",-3.05956570269375,-5.04392785914366,4.82427405207864,1.17948746256622e-06,2.49554528558902e-05
"SLC3A1",-1.9838173812937,-5.03918989886838,4.80362254172917,1.20510353858753e-06,2.54296388861513e-05
"FOXO6",-1.31994235874042,-5.01236599732565,4.68697309874576,1.36063279284247e-06,2.83602708727034e-05
"WNT4",-1.41690398574058,-5.01118088403637,4.68182994175023,1.3679356228505e-06,2.84656027957557e-05
"MATN2",-1.30963474386168,-4.98937630055354,4.58736231491992,1.50928643353519e-06,3.11049447877909e-05
"CNGB3",-1.58925872246049,-4.952586781744,4.42866320394453,1.78050058466466e-06,3.63151420188814e-05
"ABCG8",-2.52092223103235,-4.94519066701012,4.39686359973353,1.84046443571175e-06,3.73819202088009e-05
"GGT6",-2.31027924257377,-4.94309354072486,4.38785341956514,1.85782009620004e-06,3.76952083760173e-05
"CACNA1D",-1.15600090188324,-4.92127991998437,4.29430089675798,2.0480180952421e-06,4.12541436543143e-05
"SLC5A12",-1.73782654823018,-4.92076321935462,4.2920886431574,2.05274464528667e-06,4.13067244653097e-05
"CAMK2N1",-1.1067094397512,-4.91950695156161,4.28671065417683,2.06428056925958e-06,4.14960787140863e-05
"FAM222A",-1.01335765685806,-4.9180501307563,4.28047539274623,2.07773678942126e-06,4.16807239390683e-05
"RASSF10",-2.2567295407502,-4.91474474676548,4.26633329384983,2.10858361392007e-06,4.22561022177678e-05
"SLC22A3",-1.68856734889565,-4.91027331449761,4.24721352459053,2.15101939764439e-06,4.30181840395705e-05
"MPV17L",-1.617307199133,-4.89948203170784,4.20112362756191,2.25686984655719e-06,4.49050382619264e-05
"NDNF",-1.55399436054516,-4.89025046684527,4.16175539996408,2.35141145468896e-06,4.63618335968558e-05
"KRTAP5-5",-2.49784234731912,-4.89024548847757,4.16173418455678,2.35146345923906e-06,4.63618335968558e-05
"F7",-2.0260979675324,-4.87214570211848,4.08470838462365,2.54808900298019e-06,4.98358208909522e-05
"FAM131C",-2.01092968683366,-4.85880906799793,4.02808960971056,2.70306492022042e-06,5.2655812552677e-05
"GNGT1",-2.90863498375136,-4.8463734373839,3.97540080281845,2.85576734634377e-06,5.54092672299045e-05
"NAT2",-2.51921009787489,-4.84437512819443,3.96694357550838,2.88107169390528e-06,5.58447253161242e-05
"CHRM3",-1.58245114018355,-4.83804650738829,3.94017693398826,2.96265062576986e-06,5.72554233310909e-05
"CLPSL1",-2.7503664170275,-4.83589404249956,3.93107916671665,2.99090310930663e-06,5.77442510292345e-05
"HOXB7",-1.03660326231463,-4.83424867630715,3.92412679341009,3.01267528479885e-06,5.81071234031509e-05
"B3GALT5",-1.83007151243178,-4.83154611866818,3.91271119792345,3.04876998713121e-06,5.86873189140178e-05
"GCOM1",-1.27376764192901,-4.83025873484911,3.90727498131996,3.06611081043848e-06,5.89629723240875e-05
"CDHR2",-1.72735369656431,-4.82787811771313,3.89722525661768,3.0984290946473e-06,5.95258243094692e-05
"SLC66A1L",-1.79210456856947,-4.81346468086055,3.83645893618606,3.30125595609343e-06,6.29193682571841e-05
"PRAC2",-2.62343942578203,-4.81323651426054,3.83549809833086,3.3045678158555e-06,6.29193682571841e-05
"BTBD16",-1.27014411731892,-4.81158049437731,3.82852542246076,3.32870162953392e-06,6.32032364852845e-05
"KCNH8",-1.75653318633634,-4.7942139673189,3.75551271014963,3.59228411454149e-06,6.7746660513754e-05
"CDX2",-1.97288796532142,-4.7938324358914,3.75391090642404,3.59829570042816e-06,6.77945306724491e-05
"CCNI2",-1.0942269017239,-4.77339813210391,3.66826140395018,3.93488128059125e-06,7.35679575822419e-05
"SMIM24",-1.82386852409547,-4.77198042492,3.66232942218935,3.9593301258584e-06,7.39542246187849e-05
"CADPS",-1.82603234471344,-4.77068320216502,3.65690274215362,3.98182983174081e-06,7.42324130713933e-05
"C9orf24",-1.3707491819175,-4.75633599078785,3.59695858884524,4.23906725588364e-06,7.85031819426876e-05
"APOBEC1",-2.29272003415878,-4.74291174119553,3.54099481969446,4.49425639852216e-06,8.2679915780164e-05
"ZG16",-2.07097929484897,-4.73552365086026,3.51024623893829,4.6409711961329e-06,8.50583256125053e-05
"QPRT",-1.51011637015889,-4.73090272638539,3.49103290150945,4.7350764741268e-06,8.66203914699915e-05
"ANO3",-1.76200291960157,-4.72826355781675,3.48006591282198,4.7896478284603e-06,8.73730242651557e-05
"ATP2C2",-1.42383949162073,-4.72702401431297,3.47491663424441,4.81548775124615e-06,8.77623766728046e-05
"MUC15",-2.89145266991861,-4.72079731581794,3.44906541287926,4.94734295490581e-06,8.98299415226107e-05
"TNNC2",-1.58020859983092,-4.71928834487002,3.44280456734639,4.97981792631773e-06,9.02516862616489e-05
"ABCG5",-1.49182723245803,-4.71480657544732,3.42421833346814,5.0774902475392e-06,9.17662334645533e-05
"JPH1",-1.65872674133078,-4.7131921821462,3.41752662335928,5.1131245162502e-06,9.23247709830598e-05
"FER1L6",-2.47749504430635,-4.71133013710035,3.4098105606249,5.1545252507313e-06,9.2900441707317e-05
"TLX1",-2.23531726800296,-4.70629255270112,3.38894715760904,5.26816075085445e-06,9.4773483590717e-05
"KRT12",-2.10737401367327,-4.70476688311632,3.38263188436098,5.30305095684245e-06,9.53133072068211e-05
"SMIM2",-2.01668580532189,-4.69885052292265,3.3581568207365,5.44047409592015e-06,9.76035054028175e-05
"RBP4",-2.12606036052624,-4.69586332262042,3.34580817865057,5.51116030365107e-06,9.87808429448717e-05
"GGT1",-1.21259678353164,-4.6919124346984,3.32948501751358,5.60601391626927e-06,0.000100204931897124
"PCDH20",-1.81672217691269,-4.68701984709604,3.30928577443522,5.72566274666714e-06,0.000102156500139119
"SCNN1A",-1.47650455815546,-4.6742974484526,3.25683638129006,6.04844844155576e-06,0.000107229486948889
"MYRFL",-1.60962545917632,-4.66827981542765,3.23206613229005,6.2071785919989e-06,0.000109645175508802
"AOC1",-1.42156932807353,-4.66511488603351,3.21904822418791,6.29226774835362e-06,0.000111047716256885
"BMP7",-1.72540605758168,-4.65999978298375,3.19802323360729,6.43217303353732e-06,0.000113005927490202
"HOXA10",-1.84208249904638,-4.65229768096914,3.16639812158134,6.64851658009711e-06,0.000116179404768949
"CEACAM20",-2.17580523361962,-4.64838855650702,3.15036249116475,6.76098982745171e-06,0.000117828357537527
"BCL2L10",-2.19327910943175,-4.64791163918302,3.14840683640476,6.77483672438816e-06,0.000117964351492714
"C3orf85",-2.5152324131252,-4.63152588926085,3.08130894722511,7.26756283628464e-06,0.000125870061225767
"ABCG2",-1.13633334843469,-4.62100409255318,3.0383195499887,7.60199901204934e-06,0.000131080758583208
"C2CD4B",-1.38129085972827,-4.61254409675287,3.00380883853573,7.88162171240853e-06,0.000135318907568866
"TRIM54",-2.21813269492369,-4.60883029928191,2.98867462626976,8.00748121277421e-06,0.000136504826019336
"REEP1",-1.37463061850233,-4.60807850169507,2.98561209796288,8.03319428536995e-06,0.000136585295519282
"EPHB1",-1.24355879657498,-4.59791604516925,2.94425211561539,8.38868260095811e-06,0.000142134284451477
"C9orf135",-2.10837026019203,-4.5870445803882,2.90008473618559,8.78575646777875e-06,0.000148218824973702
"SLC1A7",-1.18160287233551,-4.5765578719795,2.85755721042886,9.18591059974403e-06,0.000153773403942027
"NR0B2",-2.01369865880673,-4.57373385693712,2.84611766361085,9.29663765495146e-06,0.000155094931954699
"NEURL1",-1.29248273709949,-4.56800556792349,2.82293027383886,9.5252036577026e-06,0.000158366652636028
"BARX2",-1.56192764840361,-4.56252672587425,2.80077370814113,9.74887793802981e-06,0.000161599963640908
"NR2E1",-1.76954400753632,-4.55973505111712,2.78949204789569,9.86478663110297e-06,0.000162764810019019
"CLRN3",-1.48370811474611,-4.55815888053642,2.78312482699479,9.93081371369188e-06,0.000163715838579013
"SLC29A4",-1.47445890666795,-4.55445999924272,2.76818925397203,1.00874395730585e-05,0.000166017481472621
"NPW",-1.57259231147889,-4.55196206666582,2.75810827555828,1.01945560072033e-05,0.000167639038504297
"KCNS1",-1.75023073453387,-4.53616044448748,2.69443688412976,1.08979940971743e-05,0.000177264955652288
"VTCN1",-2.11838870623572,-4.5302729438807,2.67075773597292,1.11718589713523e-05,0.00018126642997658
"CYP3A4",-1.90731770187673,-4.52665635839923,2.65622394124964,1.13433632697695e-05,0.000183743657811311
"TPPP3",-1.18699580713253,-4.51504815229683,2.60963576041479,1.19111445744868e-05,0.000191668286025893
"RFX6",-2.268180189946,-4.51373070280127,2.60435422761583,1.19772868362935e-05,0.000192573856472497
"MLXIPL",-1.65152760801826,-4.5094861915745,2.58734655867623,1.21927954750804e-05,0.000195716426708959
"POU6F2",-2.25148205495723,-4.50694601402228,2.5771740958358,1.23235498807396e-05,0.000197652728120096
"TAS2R38",-2.16346896931278,-4.49502285494289,2.52948615298989,1.29555430353313e-05,0.000206938825291843
