SampleID,ImmuneScore,PDL1,T.cells.CD8,StromalScore,ESTIMATEScore,TMB,Group
TCGA-BR-4279-01A-01R-1131-13,2145.648089,1.611156655,0.06324358,2022.789656,4168.437744,0.973684211,III
TCGA-VQ-AA6J-01A-11R-A414-31,1760.185262,3.066929349,0.063927553,45.62250662,1805.807768,2.947368421,III
TCGA-RD-A8N9-01A-12R-A39E-31,1547.255394,1.537051238,0.06408273,1341.482481,2888.737874,2.5,III
TCGA-BR-4187-01A-01R-1131-13,2178.652359,0.648115763,0.064093152,2051.537322,4230.189681,0.605263158,II
TCGA-D7-8579-01A-11R-2343-13,1416.450013,0.814283509,0.064441589,1018.980522,2435.430535,2.526315789,II
TCGA-BR-4280-01A-01R-1131-13,1231.086696,2.569719252,0.064825973,-416.0589936,815.027702,17.07894737,III
TCGA-CD-8532-01A-11R-2343-13,1978.470269,1.421851765,0.065866604,417.793746,2396.264015,0.789473684,III
TCGA-BR-4191-01A-02R-1131-13,2317.704779,1.941462781,0.066856309,1029.793246,3347.498025,4.947368421,III
TCGA-HU-A4GP-01A-11R-A251-31,353.4825488,0.513092837,0.068216296,-569.3637618,-215.8812131,4.184210526,II
TCGA-3M-AB47-01A-22R-A414-31,1226.418592,1.070958946,0.068273869,1009.087642,2235.506234,2.736842105,II
TCGA-BR-A4IV-01A-31R-A251-31,815.5317745,0.62788748,0.068569552,1476.715805,2292.247579,0.473684211,II
TCGA-CD-8530-01A-11R-2343-13,1039.631525,1.029113063,0.068636116,1187.389177,2227.020701,1.789473684,II
TCGA-D7-A6EX-01A-11R-A31P-31,-219.7042075,0.261243863,0.069033181,-547.2231138,-766.9273213,2.605263158,II
TCGA-HU-8249-01A-11R-A36D-31,881.7517607,2.048352359,0.069365101,-688.6552783,193.0964824,3.210526316,III
TCGA-BR-7959-01A-11R-2343-13,769.3728055,0.984580772,0.069415677,1120.679616,1890.052422,2.105263158,II
TCGA-HU-A4GT-01A-21R-A251-31,509.0853395,1.223566397,0.070948256,-690.7453756,-181.6600361,34.94736842,III
TCGA-VQ-A91X-01A-12R-A414-31,-548.6990524,0.163764233,0.071014167,-1847.838057,-2396.537109,5,II
TCGA-CD-8535-01A-11R-2343-13,-441.9226256,1.163687383,0.07222088,-734.8666714,-1176.789297,5.657894737,III
TCGA-BR-8487-01A-11R-2402-13,1087.714043,1.400344588,0.072265087,-218.9153896,868.7986536,67.97368421,III
TCGA-BR-8369-01A-11R-2343-13,161.9969061,0.318372407,0.072877924,67.54687443,229.5437806,4.5,II
TCGA-BR-4256-01A-01R-1131-13,2498.276831,5.262207822,0.073032779,1670.700653,4168.977484,22.94736842,III
TCGA-VQ-A8PM-01A-21R-A414-31,1639.904528,1.072589959,0.073649852,259.9620674,1899.866595,1.210526316,II
TCGA-R5-A7O7-01A-11R-A33Y-31,1000.843954,1.484241263,0.075345784,-76.18321648,924.6607375,2.605263158,III
TCGA-HU-8238-01A-11R-2343-13,1163.00292,1.19927897,0.076120267,-89.72012424,1073.282796,3.868421053,III
TCGA-BR-7722-01A-31R-2203-13,892.9786441,0.430697393,0.076160053,89.6799618,982.6586059,0.868421053,II
TCGA-BR-8059-01A-11R-2343-13,281.467429,0.506639348,0.076473791,683.5404383,965.0078673,17.18421053,II
TCGA-CD-A48A-01A-12R-A36D-31,645.0597369,8.310657727,0.076600493,-398.9286488,246.1310881,5.342105263,III
TCGA-HU-8244-01A-11R-2343-13,-49.50905294,0.318289692,0.077856532,-1774.229225,-1823.738278,2.552631579,II
TCGA-BR-7901-01A-11R-2203-13,1275.006582,1.246559463,0.078762698,930.954131,2205.960713,3.447368421,III
TCGA-VQ-A8P2-01A-11R-A36D-31,-287.1435571,0.982569832,0.080913508,-1155.522726,-1442.666283,156.0263158,II
TCGA-VQ-A8PB-01A-11R-A39E-31,420.3637719,0.975408821,0.082302518,-236.7981331,183.5656388,18.23684211,II
TCGA-BR-A4J5-01A-21R-A251-31,1255.747825,0.562402988,0.082886666,1230.238959,2485.986783,1.842105263,II
TCGA-IN-A6RL-01A-11R-A32D-31,553.0289506,0.489405526,0.084105716,-619.3382374,-66.30928678,10.84210526,II
TCGA-HU-A4HB-01A-12R-A251-31,2421.508618,1.439013906,0.085135481,-208.692652,2212.815966,0.263157895,III
TCGA-D7-6525-01A-11R-1802-13,733.874235,1.824564252,0.085147854,234.3229112,968.1971461,3.473684211,III
TCGA-VQ-A92D-01A-11R-A414-31,-339.354884,0.750909565,0.086585911,-606.5378681,-945.8927521,2.684210526,II
TCGA-BR-8592-01A-11R-2402-13,1491.371288,0.620286294,0.087116926,1285.62252,2776.993808,0.763157895,II
TCGA-VQ-AA68-01A-11R-A414-31,748.9093697,1.248534765,0.087322637,-964.0175099,-215.1081402,4.052631579,III
TCGA-CD-A4MH-01A-11R-A251-31,539.8296257,1.062059287,0.087537935,-259.9609499,279.8686759,1.631578947,II
TCGA-BR-6456-01A-11R-1802-13,1211.556758,1.175140647,0.087985155,1114.102363,2325.65912,0.868421053,III
TCGA-HU-A4GF-01A-11R-A24K-31,722.8592609,1.196854328,0.088365378,-706.3431915,16.51606938,3.315789474,III
TCGA-CD-8534-01A-11R-2343-13,947.6272129,0.724484418,0.08840118,0.157142713,947.7843556,1.315789474,II
TCGA-CD-8526-01A-11R-2343-13,811.9440475,1.258460013,0.089035921,86.60013906,898.5441865,1.342105263,III
TCGA-CD-8528-01A-11R-2343-13,530.0491216,0.961432837,0.089434954,-22.3292914,507.7198302,2.315789474,II
TCGA-IN-A6RJ-01A-21R-A33Y-31,334.4256967,0.922436904,0.089667048,-1162.692844,-828.2671475,2.552631579,II
TCGA-VQ-AA6F-01A-31R-A414-31,1079.973818,0.924426699,0.089678788,-565.5782314,514.3955869,1.210526316,II
TCGA-MX-A5UG-01A-21R-A31P-31,2391.043763,1.843470492,0.089816355,1518.203543,3909.247306,0.842105263,III
TCGA-RD-A7BT-01A-11R-A33Y-31,468.926479,0.299698265,0.090117941,-1193.81439,-724.8879106,5.105263158,II
TCGA-CD-A487-01A-21R-A24K-31,444.384868,0.575491376,0.090670403,188.2638207,632.6486887,3.973684211,II
TCGA-D7-A6F0-01A-11R-A31P-31,869.7922778,1.229974033,0.091291134,-530.5353544,339.2569234,2.789473684,III
TCGA-CG-4305-01A-01R-1157-13,1936.455908,2.695162693,0.092119207,836.3245194,2772.780427,27,I
TCGA-BR-7707-01A-11R-2055-13,1006.788411,3.635890836,0.093268438,-174.0351077,832.7533029,30.78947368,I
TCGA-D7-8570-01A-11R-2343-13,2656.882502,3.847924175,0.094599521,829.4698189,3486.35232,2.447368421,I
TCGA-BR-A4J6-01A-11R-A251-31,419.0813578,0.331776173,0.094604291,-43.23818054,375.8431772,0.815789474,IV
TCGA-VQ-A91K-01A-11R-A414-31,1153.535526,1.32192792,0.095463582,0.206107083,1153.741633,30.44736842,I
TCGA-RD-A8MV-01A-11R-A36D-31,2331.535797,2.175087298,0.095688457,106.9498061,2438.485603,1.868421053,I
TCGA-HU-A4H5-01A-21R-A251-31,544.2459053,0.599594655,0.096051356,-852.8772779,-308.6313726,6.5,IV
TCGA-BR-8590-01A-11R-2402-13,1610.528239,1.107834385,0.096328149,1160.154111,2770.68235,2.763157895,I
TCGA-HU-A4G8-01A-11R-A251-31,1094.063157,4.643636722,0.096518192,-397.5325789,696.5305779,34.60526316,I
TCGA-HU-A4H8-01A-11R-A251-31,224.7166635,1.300740446,0.097020811,-1304.278069,-1079.561405,26.84210526,I
TCGA-CD-5800-01A-11R-1602-13,359.0656224,0.16011129,0.100080471,-654.4568256,-295.3912032,3.710526316,IV
TCGA-BR-6566-01A-11R-1802-13,1675.810729,1.399979206,0.101613325,675.6183917,2351.429121,20.73684211,I
TCGA-IN-A7NU-01A-22R-A354-31,1348.343938,1.485545113,0.10253477,182.7484768,1531.092415,1.894736842,I
TCGA-B7-A5TI-01A-11R-A31P-31,694.5330405,0.527346536,0.102845658,412.6822032,1107.215244,14,IV
TCGA-BR-A44T-01A-32R-A24K-31,2779.770952,1.793465646,0.103179233,830.1724742,3609.943426,0.394736842,I
TCGA-VQ-A8DT-01A-11R-A36D-31,226.927642,0.462618563,0.104511373,-1179.54185,-952.6142077,4.368421053,IV
TCGA-BR-A4QL-01A-31R-A251-31,562.0035276,0.670675127,0.104916801,-780.8390662,-218.8355386,41.89473684,IV
TCGA-VQ-A91V-01A-11R-A414-31,-51.30108299,0.448028223,0.10647484,-1326.524854,-1377.825937,5.263157895,IV
TCGA-BR-8297-01A-12R-2343-13,685.9853748,0.471631255,0.106612213,607.1710219,1293.156397,6.342105263,IV
TCGA-BR-8371-01A-11R-2343-13,1365.401767,0.538023203,0.107888688,599.1060002,1964.507768,0.394736842,IV
TCGA-HU-A4GU-01A-11R-A251-31,201.5062241,0.623619701,0.108562418,-816.5377614,-615.0315373,33.26315789,IV
TCGA-VQ-A8PE-01A-11R-A414-31,831.0197329,1.700836921,0.110543513,-477.3437008,353.6760322,2.947368421,I
TCGA-CD-5798-01A-11R-1602-13,1330.898867,0.637009317,0.110941935,1070.307335,2401.206202,1.947368421,IV
TCGA-VQ-A91S-01A-11R-A414-31,1037.926677,5.021206927,0.111615278,-529.7950128,508.1316644,5.763157895,I
TCGA-CD-8529-01A-11R-2343-13,2198.889732,1.399365486,0.111829796,1142.735456,3341.625188,9.947368421,I
TCGA-BR-8058-01A-31R-2343-13,2361.992856,1.582546083,0.112393432,1302.827239,3664.820094,0.973684211,I
TCGA-BR-7717-01A-11R-2055-13,647.9460661,0.331127489,0.115033819,185.3420482,833.2881142,2.894736842,IV
TCGA-HU-8604-01A-11R-2402-13,2295.262924,98.26264307,0.115359088,632.4670963,2927.73002,4.605263158,I
